1;Tímea;Fekete;irodista;1940.01.01;2006.02.15;1000000;tfekete1@gmail.com;6705173811;Szakértő;Hunyadi utca 42;1;aktív;2006.02.08;jelszo
2;Tímea;Szabó;irodista;1992.01.08;2013.10.10;600000;tszabo2@gmail.com;6607104596;Haladó;Jókai utca 16;1;aktív;2013.10.03;jelszo
3;Katalin;Németh;irodista;1961.03.09;2010.12.04;600000;knemeth3@gmail.com;6208378715;Haladó;Dózsa György utca 95;1;aktív;2010.11.27;jelszo
4;Sándor;Juhász;irodista;1966.02.22;2015.03.17;250000;sjuhasz4@gmail.com;6408368870;Kezdő;Hunyadi utca 51;1;aktív;2015.03.10;jelszo
5;László;Nagy;irodista;2002.10.04;2015.08.29;600000;lnagy5@gmail.com;6706479029;Haladó;Rákóczi utca 92;1;aktív;2015.08.22;jelszo
6;Mária;Nagy;irodista;1950.02.18;2000.05.22;600000;mnagy6@gmail.com;6707075854;Haladó;Kossuth utca 37;1;aktív;2000.05.15;jelszo
7;Andrea;Farkas;irodista;1945.08.26;2015.03.18;250000;afarkas7@gmail.com;6703178446;Kezdő;Petőfi utca 87;1;aktív;2015.03.11;jelszo
8;Sándor;Horváth;irodista;1989.03.13;2009.03.08;600000;shorvath8@gmail.com;6302174242;Haladó;Kossuth utca 25;1;aktív;2009.03.01;jelszo
9;Katalin;Farkas;irodista;1943.07.01;2013.04.02;250000;kfarkas9@gmail.com;6209450239;Kezdő;Bartók Béla utca 85;1;aktív;2013.03.26;jelszo
10;Zsuzsanna;Kiss;irodista;1995.10.05;2015.08.05;250000;zkiss10@gmail.com;6307105335;Kezdő;Kossuth utca 17;1;aktív;2015.07.29;jelszo
11;Éva;Farkas;irodista;1986.03.29;2014.04.22;250000;efarkas11@gmail.com;6606705549;Kezdő;Jókai utca 38;1;aktív;2014.04.15;jelszo
12;Zoltán;Lakatos;kintis;1952.05.08;2001.03.26;600000;zlakatos12@gmail.com;6309263811;Haladó;Hunyadi utca 25;1;aktív;2001.03.19;jelszo
13;Anna;Molnár;kintis;1985.10.05;2007.01.14;600000;amolnar13@gmail.com;6401551040;Haladó;Ady Endre utca 66;1;aktív;2007.01.07;jelszo
14;József;Simon;kintis;1949.12.13;2001.02.26;600000;jsimon14@gmail.com;6407255498;Haladó;Ady Endre utca 80;1;aktív;2001.02.19;jelszo
15;Attila;Kovács;kintis;1984.03.22;2005.10.01;250000;akovacs15@gmail.com;6204056300;Kezdő;Jókai utca 67;1;aktív;2005.09.24;jelszo
16;Éva;Molnár;kintis;1952.12.03;2005.11.25;250000;emolnar16@gmail.com;6509344668;Kezdő;Jókai utca 15;1;aktív;2005.11.18;jelszo
17;Andrea;Tóth;kintis;1956.09.29;2010.05.09;600000;atoth17@gmail.com;6707346885;Haladó;Hunyadi utca 60;1;aktív;2010.05.02;jelszo
18;Ferenc;Nagy;kintis;1944.10.14;2010.03.29;250000;fnagy18@gmail.com;6302280942;Kezdő;Petőfi utca 86;1;aktív;2010.03.22;jelszo
19;István;Németh;kintis;1988.04.29;2014.11.23;600000;inemeth19@gmail.com;6102857750;Haladó;Dózsa György utca 93;1;aktív;2014.11.16;jelszo
20;István;Horváth;kintis;2002.01.08;2015.08.26;250000;ihorvath20@gmail.com;6109839371;Kezdő;Dózsa György utca 6;1;aktív;2015.08.19;jelszo
