1;2;1;El kell végezni a telepítést;Ady Endre utca 62;13738;elvégezve;alacsony;2023.09.21 0:00;2023.10.05 0:00;telepítés;14;2023.10.05 0:00
2;3;1;El kell végezni a szervizelést;Ady Endre utca 62;13738;elvégezve;alacsony;2023.10.19 0:00;2023.11.02 0:00;szerviz;17;2023.11.02 0:00
3;4;2;El kell végezni a telepítést;Árpád utca 69;6203;elvégezve;magas;2024.04.23 0:00;2024.05.07 0:00;telepítés;17;2024.05.07 0:00
4;9;3;El kell végezni a telepítést;Sport utca 78;15853;elvégezve;közepes;2019.11.27 0:00;2019.12.11 0:00;telepítés;17;2019.12.11 0:00
5;6;3;El kell végezni a szervizelést;Sport utca 78;15853;elvégezve;magas;2019.12.25 0:00;2020.01.08 0:00;szerviz;20;2020.01.08 0:00
6;11;4;El kell végezni a telepítést;Fő utca 72;6262;elvégezve;magas;2021.11.23 0:00;2021.12.07 0:00;telepítés;12;2021.12.07 0:00
7;1;4;El kell végezni a szervizelést;Fő utca 72;6262;elvégezve;alacsony;2021.12.21 0:00;2022.01.04 0:00;szerviz;12;2022.01.04 0:00
8;2;4;El kell végezni a leszerelést;Fő utca 72;6262;elvégezve;magas;2022.01.18 0:00;2022.02.01 0:00;leszerelés;20;2022.02.01 0:00
9;5;5;El kell végezni a telepítést;Deák Ferenc utca 34;18208;elvégezve;alacsony;2024.07.31 0:00;2024.08.14 0:00;telepítés;16;2024.08.14 0:00
10;3;5;El kell végezni a szervizelést;Deák Ferenc utca 34;18208;elvégezve;közepes;2024.08.28 0:00;2024.09.11 0:00;szerviz;16;2024.09.11 0:00
11;9;5;El kell végezni a leszerelést;Deák Ferenc utca 34;18208;elvégezve;közepes;2024.09.25 0:00;2024.10.09 0:00;leszerelés;19;2024.10.09 0:00
12;9;6;El kell végezni a telepítést;Deák Ferenc utca 2;9454;elvégezve;magas;2024.12.04 0:00;2024.12.18 0:00;telepítés;20;2024.12.18 0:00
13;11;6;El kell végezni a leszerelést;Deák Ferenc utca 2;9454;elvégezve;alacsony;2025.01.01 0:00;2025.01.15 0:00;leszerelés;12;2025.01.15 0:00
14;9;7;El kell végezni a telepítést;Vörösmarty utca 45;16550;elvégezve;közepes;2024.11.28 0:00;2024.12.12 0:00;telepítés;13;2024.12.12 0:00
15;6;7;El kell végezni a szervizelést;Vörösmarty utca 45;16550;elvégezve;közepes;2024.12.26 0:00;2025.01.09 0:00;szerviz;19;2025.01.09 0:00
16;10;7;El kell végezni a leszerelést;Vörösmarty utca 45;16550;elvégezve;közepes;2025.01.23 0:00;2025.02.06 0:00;leszerelés;12;2025.02.06 0:00
17;8;8;El kell végezni a telepítést;Virág utca 38;4297;elvégezve;alacsony;2020.10.29 0:00;2020.11.12 0:00;telepítés;17;2020.11.12 0:00
18;9;9;El kell végezni a telepítést;Új utca 50;5008;elvégezve;közepes;2025.03.09 0:00;2025.03.23 0:00;telepítés;18;2025.03.23 0:00
19;4;10;El kell végezni a telepítést;Szabadság utca 97;6835;elvégezve;alacsony;2021.05.28 0:00;2021.06.11 0:00;telepítés;18;2021.06.11 0:00
20;3;10;El kell végezni a szervizelést;Szabadság utca 97;6835;elvégezve;alacsony;2021.06.25 0:00;2021.07.09 0:00;szerviz;18;2021.07.09 0:00
21;10;10;El kell végezni a szervizelést;Szabadság utca 97;6835;elvégezve;magas;2021.07.23 0:00;2021.08.06 0:00;szerviz;12;2021.08.06 0:00
22;10;11;El kell végezni a telepítést;Orgona utca 53;2654;elvégezve;magas;2020.07.26 0:00;2020.08.09 0:00;telepítés;14;2020.08.09 0:00
23;5;11;El kell végezni a szervizelést;Orgona utca 53;2654;elvégezve;közepes;2020.08.23 0:00;2020.09.06 0:00;szerviz;12;2020.09.06 0:00
24;8;12;El kell végezni a telepítést;Jókai utca 61;19334;elvégezve;magas;2021.12.25 0:00;2022.01.08 0:00;telepítés;14;2022.01.08 0:00
25;4;12;El kell végezni a szervizelést;Jókai utca 61;19334;elvégezve;alacsony;2022.01.22 0:00;2022.02.05 0:00;szerviz;19;2022.02.05 0:00
26;3;13;El kell végezni a telepítést;Jókai utca 49;15763;elvégezve;magas;2023.04.14 0:00;2023.04.28 0:00;telepítés;12;2023.04.28 0:00
27;2;13;El kell végezni a szervizelést;Jókai utca 49;15763;elvégezve;magas;2023.05.12 0:00;2023.05.26 0:00;szerviz;16;2023.05.26 0:00
28;11;13;El kell végezni a szervizelést;Jókai utca 49;15763;elvégezve;közepes;2023.06.09 0:00;2023.06.23 0:00;szerviz;15;2023.06.23 0:00
29;6;14;El kell végezni a telepítést;Zrínyi utca 52;15021;elvégezve;alacsony;2024.12.31 0:00;2025.01.14 0:00;telepítés;18;2025.01.14 0:00
30;7;15;El kell végezni a telepítést;Kossuth tér 8;18192;elvégezve;magas;2023.09.29 0:00;2023.10.13 0:00;telepítés;16;2023.10.13 0:00
31;3;16;El kell végezni a telepítést;Szabadság utca 84;8432;elvégezve;alacsony;2022.01.05 0:00;2022.01.19 0:00;telepítés;12;2022.01.19 0:00
32;3;16;El kell végezni a szervizelést;Szabadság utca 84;8432;elvégezve;közepes;2022.02.02 0:00;2022.02.16 0:00;szerviz;15;2022.02.16 0:00
33;1;17;El kell végezni a telepítést;Kossuth utca 75;9302;elvégezve;magas;2025.03.24 0:00;2025.04.07 0:00;telepítés;17;2025.04.07 0:00
34;7;18;El kell végezni a telepítést;Hegyalja utca 34;4836;elvégezve;magas;2023.05.27 0:00;2023.06.10 0:00;telepítés;16;2023.06.10 0:00
35;11;19;El kell végezni a telepítést;Ady Endre utca 65;6652;elvégezve;közepes;2022.04.02 0:00;2022.04.16 0:00;telepítés;16;2022.04.16 0:00
