1;Zsolt;Márton;zmarton1@gmail.com;36536950542;Tiszaújváros;Bem utca 82;1989.03.29 0:00;2019.04.03 0:00;2019.04.03 0:00;aktív;12093;jelszo
2;Ilona;Borbély;iborbely2@gmail.com;36322003733;Mosonmagyaróvár;Új utca 72;1997.06.23 0:00;2024.12.29 0:00;2024.12.29 0:00;aktív;13190;jelszo
3;Róbert;Lakatos;rlakatos3@gmail.com;36755430573;Mosonmagyaróvár;Szabadság utca 49;1974.05.12 0:00;2024.07.30 0:00;2024.07.30 0:00;aktív;18998;jelszo
4;Nóra;Kozma;nkozma4@gmail.com;36409587918;Dunaújváros;Bartók Béla utca 29;2000.03.14 0:00;2021.06.29 0:00;2021.06.29 0:00;aktív;1575;jelszo
5;Gergő;Péter;gpeter5@gmail.com;36825536669;Debrecen;Virág utca 64;1973.04.11 0:00;2025.02.24 0:00;2025.02.24 0:00;inaktív;17032;jelszo
6;Zsuzsanna;Bakos;zbakos6@gmail.com;36391398182;Ajka;Rákóczi tér 41;1997.01.01 0:00;2023.07.30 0:00;2023.07.30 0:00;inaktív;3585;jelszo
7;Ildikó;Mezei;imezei7@gmail.com;36559602060;Sárbogárd;Új utca 67;1990.09.03 0:00;2021.10.08 0:00;2021.10.08 0:00;aktív;12303;jelszo
8;Zsuzsanna;Péter;zpeter8@gmail.com;36936727527;Füzesabony;Dózsa György utca 18;1971.04.23 0:00;2024.04.05 0:00;2024.04.05 0:00;aktív;15906;jelszo
9;Dominik;Kovács;dkovacs9@gmail.com;36339302364;Gyula;Kossuth tér 16;1964.10.30 0:00;2024.02.17 0:00;2024.02.17 0:00;inaktív;8720;jelszo
10;László;Máté;lmate10@gmail.com;36778991402;Csongrád;Tavasz utca 44;1976.04.02 0:00;2022.10.15 0:00;2022.10.15 0:00;aktív;17815;jelszo
11;Mátyás;Bogdán;mbogdan11@gmail.com;36983722989;Gyula;Vasút utca 89;1969.04.09 0:00;2024.04.17 0:00;2024.04.17 0:00;aktív;13863;jelszo
12;Zselyke;Juhász;zjuhasz12@gmail.com;36644767061;Kecskemét;Vasút utca 47;1969.10.05 0:00;2020.05.28 0:00;2020.05.28 0:00;inaktív;12056;jelszo
13;Gábor;Nagy;gnagy13@gmail.com;36229909159;Gyöngyös;Zrínyi utca 55;1986.10.24 0:00;2025.03.02 0:00;2025.03.02 0:00;aktív;2407;jelszo
14;Beáta;Máté;bmate14@gmail.com;36384416790;Balassagyarmat;Deák Ferenc utca 73;1977.05.11 0:00;2021.04.25 0:00;2021.04.25 0:00;aktív;10147;jelszo
15;Erik;Fekete;efekete15@gmail.com;36376540481;Mezőkövesd;Jázmin utca 46;1991.08.23 0:00;2024.12.11 0:00;2024.12.11 0:00;aktív;113;jelszo
16;Miklós;Gál;mgal16@gmail.com;36837337209;Gödöllő;Jókai utca 10;1999.03.20 0:00;2024.11.17 0:00;2024.11.17 0:00;inaktív;1146;jelszo
17;György;Fekete;gfekete17@gmail.com;36904492434;Dabas;Fő utca 28;1960.03.11 0:00;2023.09.29 0:00;2023.09.29 0:00;aktív;15594;jelszo
18;Bianka;Juhász;bjuhasz18@gmail.com;36667937788;Sümeg;Temető utca 10;1989.06.13 0:00;2024.05.18 0:00;2024.05.18 0:00;inaktív;7119;jelszo
19;Ádám;Balog;abalog19@gmail.com;36383410679;Balatonalmádi;Árpád utca 6;1974.01.21 0:00;2024.04.01 0:00;2024.04.01 0:00;inaktív;8752;jelszo
20;Ramóna;Borbély;rborbely20@gmail.com;36793470311;Mezőkövesd;Kossuth tér 88;1999.10.13 0:00;2024.09.24 0:00;2024.09.24 0:00;inaktív;7001;jelszo
21;Levente;Bognár;lbognar21@gmail.com;36347713584;Berettyóújfalu;Munkás utca 72;1960.12.17 0:00;2023.06.20 0:00;2023.06.20 0:00;aktív;12621;jelszo
22;Réka;Pál;rpal22@gmail.com;36583299393;Hódmezővásárhely;Kossuth tér 36;1984.04.04 0:00;2020.03.09 0:00;2020.03.09 0:00;aktív;18215;jelszo
23;József;Balla;jballa23@gmail.com;36443266566;Hajdúböszörmény;Hársfa utca 97;1970.09.20 0:00;2024.05.08 0:00;2024.05.08 0:00;aktív;8979;jelszo
24;Dorina;Pintér;dpinter24@gmail.com;36571832538;Körmend;Nyár utca 38;2002.04.23 0:00;2019.01.16 0:00;2019.01.16 0:00;aktív;17341;jelszo
25;Erzsébet;Barna;ebarna25@gmail.com;36286665365;Budapest;Zrínyi utca 36;1961.10.15 0:00;2022.04.27 0:00;2022.04.27 0:00;aktív;16325;jelszo
26;Kincső;Máté;kmate26@gmail.com;36738350050;Balatonfüred;Szabadság utca 90;1961.01.08 0:00;2024.01.24 0:00;2024.01.24 0:00;aktív;4098;jelszo
27;Margit;Fazekas;mfazekas27@gmail.com;36504082634;Sümeg;Akácfa utca 74;1981.12.16 0:00;2022.09.18 0:00;2022.09.18 0:00;inaktív;6355;jelszo
28;Imre;Simon;isimon28@gmail.com;36551049571;Nagykanizsa;Rét utca 39;1966.10.05 0:00;2020.07.17 0:00;2020.07.17 0:00;aktív;94;jelszo
29;Emese;Szűcs;eszucs29@gmail.com;36532958636;Pécs;Táncsics Mihály utca 62;1967.09.24 0:00;2024.10.26 0:00;2024.10.26 0:00;aktív;10505;jelszo
30;Dániel;Gulyás;dgulyas30@gmail.com;36615518071;Gyula;Rákóczi tér 54;1997.01.18 0:00;2023.08.24 0:00;2023.08.24 0:00;inaktív;19690;jelszo
31;Dániel;Jónás;djonas31@gmail.com;36703206941;Kalocsa;Bem utca 62;1990.12.27 0:00;2025.02.03 0:00;2025.02.03 0:00;aktív;13385;jelszo
32;Ágnes;Sipos;asipos32@gmail.com;36565956094;Budaörs;Zrínyi utca 11;1970.09.29 0:00;2025.04.02 0:00;2025.04.02 0:00;aktív;16638;jelszo
33;Erik;Török;etorok33@gmail.com;36308854063;Kecskemét;Rét utca 31;1989.07.21 0:00;2023.02.08 0:00;2023.02.08 0:00;aktív;12576;jelszo
34;Zsófia;Székely;zszekely34@gmail.com;36989797012;Nagykanizsa;Ady Endre utca 94;1997.08.31 0:00;2018.10.30 0:00;2018.10.30 0:00;aktív;9240;jelszo
35;Zsolt;Hegedüs;zhegedus35@gmail.com;36443946533;Szigetszentmiklós;Tavaszmező utca 62;1968.04.19 0:00;2023.09.19 0:00;2023.09.19 0:00;inaktív;6125;jelszo
36;Márton;Szalai;mszalai36@gmail.com;36912920209;Lőrinci;Munkás utca 90;1975.12.18 0:00;2025.03.25 0:00;2025.03.25 0:00;inaktív;16248;jelszo
37;Csaba;Balla;cballa37@gmail.com;36427200983;Miskolc;Petőfi utca 88;2000.06.27 0:00;2022.12.27 0:00;2022.12.27 0:00;aktív;19230;jelszo
38;Dóra;Bíró;dbiro38@gmail.com;36615796030;Budapest;Rózsa utca 49;1981.06.21 0:00;2025.03.25 0:00;2025.03.25 0:00;aktív;10647;jelszo
39;Szonja;Lengyel;slengyel39@gmail.com;36781007852;Szentendre;Madách utca 60;1999.04.08 0:00;2024.09.17 0:00;2024.09.17 0:00;aktív;11947;jelszo
40;Roland;Lukács;rlukacs40@gmail.com;36647321081;Szekszárd;Közép utca 59;1969.04.21 0:00;2025.03.22 0:00;2025.03.22 0:00;aktív;14439;jelszo
41;Gergő;Szilágyi;gszilagyi41@gmail.com;36263192247;Szekszárd;Honvéd utca 59;1969.07.20 0:00;2024.02.28 0:00;2024.02.28 0:00;aktív;5614;jelszo
42;József;Halász;jhalasz42@gmail.com;36972823436;Tolna;Zrínyi utca 68;1993.09.25 0:00;2024.12.05 0:00;2024.12.05 0:00;aktív;4046;jelszo
43;Nikolett;Király;nkiraly43@gmail.com;36641259167;Szekszárd;Új utca 43;1990.12.20 0:00;2016.11.16 0:00;2016.11.16 0:00;aktív;14497;jelszo
44;Dóra;Balla;dballa44@gmail.com;36471027717;Kaba;Tavaszmező utca 11;1970.09.03 0:00;2021.10.25 0:00;2021.10.25 0:00;aktív;5300;jelszo
45;Miklós;Hajdu;mhajdu45@gmail.com;36456938612;Kecskemét;Erkel Ferenc utca 75;1993.11.13 0:00;2020.04.04 0:00;2020.04.04 0:00;aktív;7742;jelszo
46;János;Juhász;jjuhasz46@gmail.com;36432657969;Pécs;Fő utca 3;1974.11.19 0:00;2024.05.22 0:00;2024.05.22 0:00;aktív;12186;jelszo
47;Gábor;Fekete;gfekete47@gmail.com;36462343346;Balatonfüred;Rákóczi tér 89;1990.06.02 0:00;2023.06.04 0:00;2023.06.04 0:00;aktív;3394;jelszo
48;Levente;Deák;ldeak48@gmail.com;36488811074;Lőrinci;Új utca 4;1971.11.01 0:00;2020.07.29 0:00;2020.07.29 0:00;inaktív;11884;jelszo
